RA	DEC	Name
12:27:00	12:43:00	Virgo Cluster
12:59:49	27:58:50	Coma Cluster
3:38:00	-35:27:00	Fornax Cluster
12:48:52	-41:48:52	Centaurus Cluster
11:44:37	19:45:32	Leo Cluster
10:00:57	2:20:09	CL J1001+0220
22:15:59	-17:38:02	XMXCS 2215-1738
0:14:20	-30:23:19	Abell 2744
10:30:04	-35:19:24	Antlia Cluster
13:47:34	-11:45:42	RX J1347.5-1145
9:18:00	-12:05:00	Hydra Cluster
9:16:11	29:48:44	Musket Ball Cluster
16:15:33	-60:54:30	Norma Cluster
1:52:50	36:08:46	Abell 262
16:05:15	17:44:55	Hercules Cluster
13:11:34	-1:21:56	Abell 1689
2:48:07	-3:29:32	Abell 383
7:17:37	37:45:23	MACS J0717.5+3745
