PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
000.6+08.8	S223120133693	17:14:09.788	-23:31:53.41	0.667	8.858	1997.326	30.01	335.99	PHOT
001.1-00.0	S222131234385	17:48:45.970	-27:57:38.03	1.194	-0.086	1996.678	2.71	102.06	ST
008.1+08.2	S223132057996	17:33:35.332	-17:41:16.23	8.129	8.278	1997.244	30.96	318.63	PHOT
010.2+02.7		17:58:14.415	-18:41:26.15	10.289	2.741	0.000	5.72	212.26	GEO
021.9+02.7	S300323037878	18:21:21.115	-8:31:42.30	21.909	2.728	1988.585	1.15	285.28	ST
050.6+19.7	N02210321	18:08:20.083	24:10:43.26	50.676	19.790	1980.050	0.77	17.54	PHOT
099.3-01.9	N03212131305	22:04:12.301	53:04:01.36	99.305	-1.956	1970.850	1.64	213.64	ST
158.6+00.7	N3323221155	04:43:21.268	46:42:05.80	158.584	0.760	1957.600	1096.85	67.81	CS
19W32	S222122056618	17:39:02.870	-28:56:35.10	359.238	1.219	1996.678	2.47	158.18	PHOT
341.4-09.0	S2110011242	17:35:02.502	-49:26:26.38	341.408	-9.037	1986.180	6.86	121.78	ST
A 12		06:02:20.045	09:39:14.09	198.673	-6.320	0.000	42.33	105.75	GEO
A 13	N220002316027	06:04:47.896	03:56:35.76	204.025	-8.516	1989.848	19.44	242.88	CS
A 14	N22021322933	06:11:08.675	11:46:43.37	197.851	-3.400	1988.110	4.26	19.12	CS
A 15	S1012211487	06:27:01.877	-25:22:49.58	233.534	-16.315	1996.131	6.24	142.06	CS
A 16	N21123037383	06:43:55.460	61:47:24.67	153.771	22.832	1998.878	1.46	282.95	CS
A 18		06:56:14.659	-2:53:07.81	216.049	-0.247	0.000	5.39	266.91	GEO
A 19		06:59:56.428	14:36:33.97	200.788	8.450	0.000	13.25	12.79	GEO
A 2	N311312254909	00:45:34.678	57:57:34.88	122.153	-4.903	1989.667	16.07	135.63	CS
A 20	N220100127413	07:22:57.743	01:45:32.83	214.968	7.815	1993.061	4.71	14.19	CS
A 21		07:29:02.707	13:14:48.77	205.140	14.241	0.000	18.95	172.34	CS
A 23	S132230181087	07:43:17.984	-34:45:15.64	249.385	-5.502	1991.874	11.84	77.04	GEO
A 24	N221232118974	07:51:37.551	03:00:20.98	217.176	14.752	1997.263	15.67	67.82	CS
A 26		08:09:01.644	-32:40:24.91	250.374	0.151	0.000	10.55	335.68	GEO
A 28	N2130023616	08:41:35.567	58:13:48.43	158.804	37.179	1996.208	9.63	306.77	CS
A 29	S131111318841	08:40:18.921	-20:54:36.27	244.604	12.564	1992.085	85.69	309.90	CS
A 3	N313310138089	02:12:06.596	64:09:00.94	131.588	2.642	1992.741	32.96	84.14	CS
A 30	N2313320685	08:46:53.514	17:52:45.47	208.559	33.289	1989.853	18.05	135.51	CS
A 31	N23103322677	08:54:13.159	08:53:53.03	219.134	31.290	1986.996	5.67	358.65	CS
A 33	S1210231213	09:39:09.118	-2:48:31.45	238.024	34.864	1985.055	1.98	234.76	CS
A 34	S1211202418	09:45:35.315	-13:10:15.60	248.709	29.540	1995.304	3.57	298.53	CS
A 35	S2033100229	12:53:32.792	-22:52:22.57	303.567	39.996	1987.230	5.47	262.33	CS
A 36	S2030013110	13:40:41.344	-19:52:55.34	318.464	41.500	1986.190	1.99	227.38	CS
A 39	N13220123587	16:27:33.737	27:54:33.44	47.053	42.483	1989.349	4.51	286.17	CS
A 4	N333111136878	02:45:23.667	42:33:04.94	144.323	-15.538	1989.749	37.42	141.17	CS
A 40	S223011112571	16:48:34.515	-21:00:50.67	359.167	15.120	1991.584	14.03	322.12	CS
A 41	S2202212270	17:29:01.954	-15:13:05.20	9.663	10.515	1988.536	30.60	121.32	PHOT
A 42	S220333119033	17:31:29.072	-8:19:10.16	16.010	13.586	1989.512	35.32	89.89	CS
A 43	N100320325192	17:53:32.272	10:37:23.73	36.064	17.621	1993.527	4.29	164.45	CS
A 44		18:30:11.242	-16:45:26.32	15.630	-3.013	0.000	0.48	123.88	GEO
A 45		18:30:15.422	-11:36:57.43	20.199	-0.651	0.000	29.71	83.16	GEO
A 46	N022111330360	18:31:18.290	26:56:12.86	55.415	16.032	1990.551	8.65	59.96	CS
A 47	S300020121985	18:35:22.569	-00:13:49.68	30.895	3.468	1990.631	19.67	337.63	PHOT
A 48	S300313132986	18:42:46.908	-3:13:17.30	29.080	0.455	1997.271	42.88	65.33	CS
A 49		18:53:28.292	-6:28:46.83	27.391	-3.400	0.000	30.40	152.94	GEO
A 5	N333103211952	02:52:15.071	50:35:54.06	141.736	-7.810	1989.763	15.82	263.61	CS
A 50		18:59:20.030	48:27:55.24	78.530	18.723	0.000	20.47	25.01	GEO
A 52	N02332226919	19:04:32.342	17:57:07.13	50.413	5.289	1990.628	3.34	325.72	CS
A 53	N023221018632	19:06:45.910	06:23:52.47	40.372	-0.475	1988.520	3.48	342.54	PHOT
A 54		19:08:39.581	22:58:58.35	55.367	6.692	0.000	7.78	206.47	GEO
A 55		19:10:25.768	-2:20:23.46	33.013	-5.291	0.000	80.01	118.71	GEO
A 56	N0201030119418	19:13:06.129	02:52:47.90	37.974	-3.496	1995.622	7.60	80.94	CS
A 57	N022231310954	19:17:05.733	25:37:33.41	58.614	6.175	1986.669	30.35	256.64	CS
A 58	N020103213277	19:18:20.476	01:46:59.62	37.603	-5.163	1991.674	8.96	190.21	CS
A 59		19:18:40.003	19:34:32.95	53.397	3.060	0.000	39.35	160.33	CS
A 6	N31333005850	02:58:41.873	64:30:06.32	136.100	4.934	1993.719	71.98	96.38	CS
A 60	S303321215212	19:19:17.819	-12:14:36.78	25.028	-11.663	1983.533	15.68	196.79	CS
A 61	N030311352878	19:19:10.222	46:14:52.03	77.701	14.778	1993.478	15.75	182.34	CS
A 62		19:33:17.693	10:37:03.51	47.179	-4.293	0.000	9.56	104.67	GEO
A 63	N021112046696	19:42:10.372	17:05:14.52	53.893	-3.027	1992.436	7.00	167.22	CS
A 65	S3022000382	19:46:34.199	-23:08:12.88	17.307	-21.972	1989.660	6.07	274.58	CS
A 66	S331103117982	19:57:31.532	-21:36:44.65	19.843	-23.781	1992.355	8.76	26.26	CS
A 67	N02121113273	19:58:26.971	03:02:51.96	43.511	-13.410	1992.501	45.14	130.58	CS
A 68	N031203279130	20:00:10.607	21:42:55.43	60.047	-4.334	1991.688	3.21	45.11	CS
A 69		20:19:58.343	38:24:02.16	76.374	1.172	0.000	37.09	321.76	GEO
A 7	S0233022264	05:03:07.521	-15:36:22.81	215.572	-30.855	1990.899	12.27	36.83	CS
A 70	S3020230458	20:31:33.181	-7:05:17.90	38.120	-25.462	1985.682	3.23	188.21	CS
